organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,167428-1-3,333778,,58.618521,-121.891162,,,Visible,
CWS-PAC,167428-1-6,333779,,58.616554,-121.890016,,,Visible,
CWS-PAC,168599-4-6,333794,,58.641844,-121.902157,,,Visible,
CWS-PAC,168599-4-9,333815,,58.640337,-121.902699,,,Visible,
CWS-PAC,169183-1-7,333818,,58.654338,-121.879299,,,Visible,
CWS-PAC,169183-1-8,333822,,58.653533,-121.875997,,,Visible,
CWS-PAC,169765-4-6,333829,,58.669153,-121.902264,,,Visible,
CWS-PAC,169765-4-8,333832,,58.666602,-121.907679,,,Visible,
CWS-PAC,169182-2-5,487229,,58.656886,-121.992597,,,Visible,
CWS-PAC,169182-2-1,487230,,58.659815,-121.997322,,,Visible,
