organization,location,location_id,location_buffer_m,latitude,longitude,timezone,name/region/country,location_visibility,location_comments
CWS-PAC,168015-2-4,333780,,58.627449,-121.881324,,,Visible,
CWS-PAC,168015-2-7,333785,,58.625694,-121.880716,,,Visible,
CWS-PAC,168599-3-4,333792,,58.650891,-121.898716,,,Visible,
CWS-PAC,168599-3-7,333793,,58.649333,-121.896388,,,Visible,
CWS-PAC,169183-4-2,333823,,58.666506,-121.888721,,,Visible,
CWS-PAC,169183-4-7,333827,,58.661031,-121.893558,,,Visible,
CWS-PAC,181792-1-5,539381,,59.131538,-121.554560,,,Visible,
CWS-PAC,181792-2-5,539382,,59.130592,-121.541412,,,Visible,
CWS-PAC,181792-2-1,539383,,59.128417,-121.538771,,,Visible,
CWS-PAC,181792-1-1,539385,,59.132942,-121.550525,,,Visible,
CWS-PAC,169765-2-7,539389,,58.680897,-121.950283,,,Visible,
CWS-PAC,169765-2-4,539390,,58.681942,-121.951497,,,Visible,
