organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,is_complete,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,needs_review,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,0.46,299.91,1.81,1.85kHz,7.57kHz,2920384,1,Song,1,,f,1,Dominic Cormier,1388,,f,-34.09,-59.2,2,0.000784,-0.040894,0.039612,-27.77,-34.1,-66.52,2,0,-0.039764,0.040283,-27.9,-35.56,-58.52,2,0.001235,-0.031799,0.036102,-28.85,-35.6,-69.04,2,0,-0.033264,0.033264,-29.56,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/1e3a60f4c2cc407f82cac8f2d9aeb980.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/6de11f6d8cf44d329cd2dc1314371ccd.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,1.98,299.91,1.56,1.44kHz,5.92kHz,2920385,2,Song,1,,f,1,Dominic Cormier,1388,,f,-57.09,-61.1,2,0.000404,-0.007904,0.00766,-42.04,-65.14,-72.3,2,0,-0.007111,0.006897,-42.96,-57.49,-60.31,3,0.000865,-0.006287,0.007172,-42.89,-67.7,-74.68,2,0,-0.00647,0.006256,-43.78,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/4fe255936e4e4ec08bbcbf05535fffcf.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/a5514ac2264b4a46aaa1c02080fbdad1.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,PAWA,Palm Warbler,SETOPHAGA PALMARUM,Aves,6.31,299.91,1.59,3.55kHz,6.64kHz,2920386,1,Song,1,,f,1,Dominic Cormier,1388,,f,-55.17,-62.46,2,0.000175,-0.00769,0.006927,-42.28,-57.1,-72.97,2,0,-0.006958,0.006836,-43.15,-57.12,-62.29,3,0.000632,-0.002289,0.004425,-47.08,-68.84,-74.68,2,0,-0.001343,0.001373,-57.24,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/2dceadb84f04459a96e1d8b082952a8f.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/3a544d54fca94a3bb224e4add7a0d2d1.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,CHSP,Chipping Sparrow,SPIZELLA PASSERINA,Aves,6.81,299.91,2.31,4.12kHz,8.39kHz,2920387,1,Song,1,,f,1,Dominic Cormier,1388,,f,-35.64,-59.47,2,0.000152,-0.033325,0.034912,-29.14,-56.58,-68.01,2,0,-0.00705,0.006958,-43.04,-35.23,-62.29,2,0.000607,-0.038666,0.039917,-27.98,-56.19,-73.43,2,0,-0.006348,0.005524,-43.95,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/1a56fa3871d845dcae212a0899bcc949.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/fdb14e398dc44f7da9f0f4ea1d97412b.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,HETH,Hermit Thrush,CATHARUS GUTTATUS,Aves,10.70,299.91,1.04,1.85kHz,5.30kHz,2920388,3,Song,1,,f,1,Dominic Cormier,1388,,f,-58.45,-62.32,3,0.000084,-0.003387,0.003937,-48.1,-71.13,-73.45,2,0,-0.001007,0.001068,-59.43,-57.86,-63,2,0.000538,-0.002258,0.003876,-48.23,-74.39,-76.3,2,0,-0.000671,0.000702,-63.07,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/304c7c43ba854c2092016c2a798d17ae.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/2cb9cfdb286947ea9bca8a6f4af518bf.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,CEDW,Cedar Waxwing,BOMBYCILLA CEDRORUM,Aves,13.93,299.91,3.83,6.23kHz,7.93kHz,2920389,1,Song,1,,f,1,Dominic Cormier,1388,,f,-57.26,-61.92,2,0.00006,-0.00415,0.004211,-47.51,-59.99,-79.29,3,0,-0.002014,0.002014,-53.92,-54.78,-62.73,2,0.00051,-0.003296,0.004456,-47.02,-73.36,-80.32,2,0,-0.000763,0.000732,-62.35,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/358cf02a67db4b6aad329f49e38e95db.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/b29b5b756e414703ad440a5d727b309c.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,BCFR,Boreal Chorus Frog,PSEUDACRIS MACULATA,Amphibia,27.91,299.91,1.21,2.01kHz,4.17kHz,2920390,1,Call,CI 1,,f,1,Dominic Cormier,1388,,f,-61.4,-64.47,2,0.000006,-0.002808,0.002869,-50.85,-72.66,-76.22,2,0,-0.001038,0.000977,-59.68,-60.46,-64.45,2,0.000475,-0.001831,0.002808,-51.03,-76.86,-78.22,2,0,-0.000671,0.00061,-63.46,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/d2c0e75d9e7744e096b616f818200c31.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/0245693ed99f42bbbd17701ad8c220a1.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,CAJA,Canada Jay,PERISOREUS CANADENSIS,Aves,50.21,299.91,0.65,1.39kHz,3.71kHz,2920392,1,Call,1,,f,1,Dominic Cormier,1388,,f,-60.33,-63.65,2,0.000009,-0.003174,0.00351,-49.1,-68.93,-74.25,3,0,-0.001221,0.001343,-57.44,-52.08,-59.31,2,0.000469,-0.003815,0.006683,-43.5,-75.21,-76.83,3,0,-0.001831,0.001923,-54.32,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/7f78a210e7a244c781b7a9a222c3bb97.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/a44a5bc6360f4fdabecc336ef1d830a6.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,Aves,88.10,299.91,1.65,3.04kHz,5.92kHz,2920417,1,Song,1,,f,1,Dominic Cormier,1388,,f,-34.43,-61.41,2,-0.000032,-0.04184,0.039551,-27.57,-36.67,-72.96,2,0,-0.038727,0.039642,-28.04,-35.12,-63.11,2,0.000431,-0.042145,0.042603,-27.41,-35.15,-76.8,2,0,-0.041351,0.04129,-27.67,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/855e227ef3ee400597cba201ed3a4294.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/cd3c3aa0770849f99f34c4cf80f6281f.flac
CWS-PAC,Boreal Monitoring - 2022 FNFN,1318,167428-1-3,333778,2022-06-08 04:45:00,514471,1SPT,477276,t,RCKI,Ruby-crowned Kinglet,CORTHYLIO CALENDULA,Aves,118.55,299.91,2.50,1.39kHz,3.19kHz,2920395,1,Song,1,,f,1,Dominic Cormier,1388,,f,-43.16,-61.35,2,-0.000026,-0.023773,0.022949,-32.48,-50.84,-76.28,2,0,-0.00766,0.00766,-42.32,-41.42,-61.86,2,0.000435,-0.022095,0.02298,-32.77,-49.15,-78.22,4,0,-0.007965,0.007843,-41.98,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=477276,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/0601e1c6295a4b799e6d144755e34eaf.jpg,https://wildtrax-aru-ca.s3-accelerate.amazonaws.com/fac9b77d-ffe8-4cea-9aff-f81e4df794a7/3cb5f8ec9e0d44bf89c891c94d8056be.flac
